time_iso,t_s,fx_N,fy_N,fz_N,mx_Nm,my_Nm,mz_Nm,Fmag_N,Mmag_Nm,tcp_x_mm,tcp_y_mm,tcp_z_mm,moving
2026-07-16T14:29:06.620,0.000,-0.0979,0.0465,-0.0870,0.00002,0.00032,0.00093,0.1390,0.00098,,,,1
2026-07-16T14:29:06.637,0.020,-0.0360,-0.0151,0.1104,0.00002,-0.00029,-0.00034,0.1171,0.00045,,,,1
2026-07-16T14:29:06.669,0.040,0.0568,0.0003,0.1104,0.00063,0.00032,0.00029,0.1241,0.00077,,,,1
2026-07-16T14:29:06.685,0.061,0.0568,0.0003,0.0345,-0.00060,0.00032,0.00093,0.0664,0.00115,,,,1
2026-07-16T14:29:06.701,0.081,-0.0051,0.0157,-0.2085,0.00063,0.00032,0.00093,0.2091,0.00117,,,,1
2026-07-16T14:29:06.717,0.102,0.0568,0.0003,-0.0870,-0.00060,0.00032,-0.00034,0.1039,0.00076,,,,1
2026-07-16T14:29:06.765,0.143,0.0104,0.0311,0.0497,-0.00060,-0.00029,0.00029,0.0595,0.00073,,,,1
2026-07-16T14:29:06.781,0.164,0.0722,-0.0151,-0.0263,0.00002,0.00093,0.00093,0.0783,0.00132,,,,1
2026-07-16T14:29:06.797,0.184,0.0568,-0.0458,0.0345,0.00002,0.00032,0.00029,0.0807,0.00043,,,,1
2026-07-16T14:29:06.829,0.204,-0.0360,-0.0305,-0.1022,-0.00060,0.00093,-0.00034,0.1126,0.00116,,,,1
2026-07-16T14:29:06.893,0.271,-0.0051,-0.0305,0.1408,0.00063,0.00032,0.00029,0.1441,0.00077,,,,1
2026-07-16T14:29:06.909,0.292,0.0722,-0.0151,0.0648,0.00002,-0.00029,0.00029,0.0982,0.00042,,,,1
2026-07-16T14:29:06.956,0.333,-0.0824,-0.0766,-0.1477,0.00063,0.00032,-0.00034,0.1857,0.00079,,,,1
2026-07-16T14:29:06.972,0.354,0.1032,-0.0305,0.0497,0.00002,-0.00029,-0.00034,0.1185,0.00045,,,,1
2026-07-16T14:29:06.989,0.374,-0.0206,0.0311,-0.0566,0.00125,0.00032,-0.00034,0.0678,0.00133,,,,1
2026-07-16T14:29:07.022,0.395,0.0413,0.0157,0.1559,0.00002,-0.00029,-0.00034,0.1621,0.00045,,,,1
