time_iso,t_s,fx_N,fy_N,fz_N,mx_Nm,my_Nm,mz_Nm,Fmag_N,Mmag_Nm,tcp_x_mm,tcp_y_mm,tcp_z_mm,moving
2026-07-16T16:15:39.478,0.000,0.0226,-0.0538,-0.1992,-0.00005,0.00043,0.00006,0.2076,0.00044,,,,1
2026-07-16T16:15:39.494,0.020,0.0226,0.0077,-0.0018,-0.00005,0.00043,0.00006,0.0239,0.00044,,,,1
2026-07-16T16:15:39.510,0.041,0.0381,-0.0538,-0.1081,0.00118,-0.00018,0.00006,0.1266,0.00119,,,,1
2026-07-16T16:15:39.542,0.061,-0.0084,-0.0538,-0.0777,-0.00005,0.00166,-0.00057,0.0949,0.00175,,,,1
2026-07-16T16:15:39.559,0.082,-0.0393,0.0385,-0.0474,-0.00005,0.00043,0.00006,0.0726,0.00044,,,,1
2026-07-16T16:15:39.574,0.102,-0.0238,0.0231,-0.0474,0.00056,0.00166,-0.00057,0.0578,0.00184,,,,1
2026-07-16T16:15:39.621,0.148,0.0071,-0.0231,-0.0929,-0.00005,0.00104,0.00070,0.0960,0.00126,,,,1
2026-07-16T16:15:39.638,0.169,0.0071,-0.0231,0.1045,-0.00066,-0.00018,-0.00057,0.1072,0.00089,,,,1
2026-07-16T16:15:39.670,0.189,0.0535,0.0846,-0.1081,-0.00005,0.00043,-0.00057,0.1473,0.00072,,,,1
2026-07-16T16:15:39.734,0.258,0.0381,0.0692,-0.1081,0.00056,-0.00018,0.00006,0.1339,0.00060,,,,1
2026-07-16T16:15:39.749,0.278,-0.0238,-0.0692,0.0437,0.00056,0.00104,-0.00057,0.0853,0.00132,,,,1
2026-07-16T16:15:39.798,0.324,-0.0702,-0.0846,0.1500,-0.00005,0.00043,-0.00057,0.1860,0.00072,,,,1
2026-07-16T16:15:39.814,0.344,0.0381,-0.0077,-0.0170,0.00056,0.00104,-0.00057,0.0424,0.00132,,,,1
2026-07-16T16:15:39.846,0.364,-0.0393,0.0231,0.0134,-0.00128,0.00043,-0.00121,0.0475,0.00181,,,,1
2026-07-16T16:15:39.894,0.422,0.0071,-0.0231,-0.0777,-0.00066,-0.00018,-0.00057,0.0814,0.00089,,,,1
2026-07-16T16:15:39.926,0.443,0.0226,0.0385,-0.1992,0.00056,0.00043,-0.00121,0.2041,0.00140,,,,1
2026-07-16T16:15:39.942,0.463,0.0535,-0.0538,0.0589,-0.00005,0.00043,-0.00057,0.0961,0.00072,,,,1
2026-07-16T16:15:39.990,0.515,-0.0084,0.0231,-0.1081,0.00056,0.00043,0.00070,0.1109,0.00100,,,,1
2026-07-16T16:15:40.006,0.536,-0.0084,0.0231,-0.1688,0.00056,0.00043,0.00006,0.1706,0.00071,,,,1
2026-07-16T16:15:40.041,0.556,0.0535,0.0077,0.0741,-0.00066,0.00043,0.00006,0.0917,0.00079,,,,1
2026-07-16T16:15:40.102,0.618,-0.0702,-0.0077,-0.0170,-0.00066,-0.00018,-0.00057,0.0727,0.00089,,,,1
2026-07-16T16:15:40.120,0.639,-0.0084,-0.0538,-0.1233,-0.00066,0.00043,-0.00057,0.1348,0.00098,,,,1
2026-07-16T16:15:40.134,0.659,0.0226,-0.0385,0.0893,-0.00005,0.00043,0.00006,0.0998,0.00044,,,,1
2026-07-16T16:15:40.181,0.714,-0.0548,0.0077,0.1196,-0.00066,0.00043,-0.00057,0.1318,0.00098,,,,1
2026-07-16T16:15:40.214,0.734,0.0071,-0.0846,-0.0170,-0.00005,-0.00018,-0.00057,0.0866,0.00060,,,,1
2026-07-16T16:15:40.230,0.755,-0.0702,-0.0077,0.0437,0.00056,0.00043,0.00006,0.0831,0.00071,,,,1
2026-07-16T16:15:40.278,0.804,0.0535,0.0231,0.1045,0.00118,-0.00018,0.00006,0.1196,0.00119,,,,1
2026-07-16T16:15:40.293,0.824,0.0226,0.0231,-0.0474,0.00056,-0.00080,-0.00057,0.0573,0.00113,,,,1
2026-07-16T16:15:40.326,0.845,0.0535,-0.0385,-0.1992,-0.00005,-0.00080,-0.00057,0.2098,0.00098,,,,1
2026-07-16T16:15:40.374,0.905,0.0381,-0.1000,0.1500,0.00056,-0.00018,-0.00057,0.1843,0.00082,,,,1
2026-07-16T16:15:40.405,0.926,0.0071,-0.0231,0.1196,0.00056,-0.00080,-0.00057,0.1221,0.00113,,,,1
2026-07-16T16:15:40.422,0.946,0.0071,0.1000,-0.1233,-0.00005,-0.00018,-0.00057,0.1589,0.00060,,,,1
2026-07-16T16:15:40.470,0.993,0.0845,-0.0692,0.0741,-0.00005,0.00043,-0.00057,0.1320,0.00072,,,,1
2026-07-16T16:15:40.485,1.013,0.0226,-0.0538,0.2411,0.00056,-0.00202,-0.00057,0.2481,0.00218,,,,1
2026-07-16T16:15:40.502,1.034,0.0535,0.0077,-0.1385,-0.00005,-0.00080,0.00070,0.1487,0.00106,,,,1
2026-07-16T16:15:40.549,1.080,0.0381,-0.0385,-0.0322,-0.00005,-0.00080,0.00006,0.0630,0.00080,,,,1
2026-07-16T16:15:40.582,1.101,0.0226,0.0231,0.3322,-0.00005,0.00043,-0.00184,0.3338,0.00189,,,,1
2026-07-16T16:15:40.597,1.121,0.0535,0.0077,-0.1081,-0.00066,0.00043,-0.00057,0.1209,0.00098,,,,1
2026-07-16T16:15:40.645,1.168,-0.0548,-0.0385,0.2108,0.00179,-0.00018,-0.00057,0.2211,0.00189,,,,1
2026-07-16T16:15:40.661,1.188,0.0226,-0.0385,0.2108,-0.00128,-0.00080,-0.00057,0.2154,0.00161,,,,1
2026-07-16T16:15:40.677,1.208,0.0381,-0.0846,0.0134,-0.00005,-0.00018,0.00070,0.0937,0.00073,,,,1
2026-07-16T16:15:40.741,1.269,-0.0393,0.0231,-0.1688,0.00056,-0.00080,0.00006,0.1749,0.00098,,,,1
2026-07-16T16:15:40.757,1.290,0.0071,-0.0692,0.0437,0.00056,-0.00018,0.00070,0.0822,0.00092,,,,1
2026-07-16T16:15:40.790,1.310,0.0845,0.0077,0.0437,0.00056,-0.00080,-0.00057,0.0954,0.00113,,,,1
2026-07-16T16:15:40.837,1.370,0.0071,0.0538,-0.0474,0.00056,0.00104,0.00006,0.0721,0.00119,,,,1
2026-07-16T16:15:40.869,1.390,-0.0393,-0.0231,0.0134,-0.00005,0.00104,0.00006,0.0475,0.00105,,,,1
2026-07-16T16:15:40.885,1.410,0.0535,-0.0077,-0.0777,0.00056,-0.00018,-0.00057,0.0947,0.00082,,,,1
2026-07-16T16:15:40.933,1.458,0.0226,0.0077,-0.1385,-0.00005,0.00043,0.00134,0.1405,0.00140,,,,1
2026-07-16T16:15:40.949,1.479,0.0226,-0.0385,-0.0474,0.00056,-0.00080,0.00006,0.0651,0.00098,,,,1
2026-07-16T16:15:40.982,1.499,0.0535,0.0231,-0.2144,0.00056,0.00043,0.00006,0.2222,0.00071,,,,1
2026-07-16T16:15:41.046,1.565,0.0226,-0.0077,0.2108,-0.00005,0.00227,-0.00439,0.2121,0.00494,,,,1
2026-07-16T16:15:41.061,1.585,-0.0702,-0.2384,0.1045,0.01099,-0.00386,-0.00884,0.2696,0.01463,,,,1
2026-07-16T16:15:41.110,1.641,-0.0238,-0.0385,0.0134,0.00056,0.00104,0.00261,0.0472,0.00287,,,,1
2026-07-16T16:15:41.142,1.661,0.0535,-0.0846,0.3019,0.00179,-0.00325,-0.00184,0.3180,0.00414,,,,1
2026-07-16T16:15:41.158,1.681,-0.0084,0.1307,-0.1081,-0.00128,0.00166,0.00006,0.1699,0.00209,,,,1
2026-07-16T16:15:41.221,1.739,0.1154,0.0077,0.1500,-0.00496,0.00166,0.00197,0.1894,0.00559,,,,1
2026-07-16T16:15:41.239,1.759,0.0535,-0.0077,0.0134,0.00302,0.00104,-0.00248,0.0557,0.00404,,,,1
2026-07-16T16:15:41.254,1.779,0.0071,-0.1000,0.1804,0.00179,-0.00080,-0.00184,0.2064,0.00269,,,,1
2026-07-16T16:15:41.317,1.837,0.0535,-0.0077,0.0741,0.00118,0.00043,-0.00057,0.0917,0.00138,,,,1
2026-07-16T16:15:41.333,1.857,0.0226,0.0692,0.0589,-0.00066,-0.00080,-0.00184,0.0937,0.00212,,,,1
